Assignment 8 Question 1 Aggregation Report
facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid,year_experience_Mean,Salary_Std,Salary_Normalized,Total_encounter_charges
Cardiology Specialty Center,297,19.31972789115646,276658.83,222139.04,20.137014314928425,10.581438670904161,-0.8634945208398286,297283.06
City General Hospital,312,19.5630081300813,295508.13,236798.5,19.5630081300813,10.702137018258142,-0.05260707549537005,295508.13
Community Health Clinic,328,20.16078431372549,334992.21,269207.92,19.5630081300813,10.702137018258142,-1.5476355892121691,295508.13
Emergency Medical Center,299,19.66868686868687,310735.25,248439.2,20.137014314928425,10.581438670904161,-1.3360200587658313,297283.06
Northside Urgent Care,305,20.137014314928425,297283.06,236839.71,20.209205020920503,11.575934653337479,1.3641054007269142,316284.98
Oncology Treatment Center,324,19.3811394891945,334927.3,267183.95,20.137014314928425,10.581438670904161,-0.5799791980842268,297283.06
Pediatric Care Center,326,19.811676082862522,361811.04,291790.95,20.137014314928425,10.581438670904161,-0.8634945208398286,297283.06
Primary Care Clinic,316,20.102970297029703,323315.71,260297.44,19.5630081300813,10.702137018258142,0.3211500529338297,295508.13
Regional Medical Center,309,20.209205020920503,316284.98,251750.43,20.137014314928425,10.581438670904161,-1.3360200587658313,297283.06
Surgical Specialty Center,340,20.778181818181817,349909.18,278503.38,20.778181818181817,11.35813247735185,-1.6532807532951,349909.18
